Location,Latitude,Longitude
鹿児島市黎明館,Not Found,Not Found
鹿児島市喜入生見町,31.3115523,130.561718
鹿児島市吉野町,31.6454415,130.5861361
鹿児島市本港新町,31.5935998,130.5627986
鹿児島市尚古集成館,31.61734665,130.5763195124337
鹿児島市城山町,31.5973265,130.5527082
鹿児島市伊敷2丁目18,Not Found,Not Found
鹿児島市宮之浦町,31.6773876,130.5708432
鹿児島市池之上町,31.608865,130.5623034
鹿児島市玉里町,31.6113225,130.5407068
鹿児島市市内一円,Not Found,Not Found
鹿児島市浜町7,Not Found,Not Found
鹿児島市花尾町,31.7066787,130.4934434
鹿児島市本名町,31.7002997,130.5353245
鹿児島市永吉1丁目,Not Found,Not Found
鹿児島市鹿児島市立美術館,31.595810450000002,130.55342285019285
鹿児島市南林寺町,31.5847228,130.5602812
鹿児島市東千石町,31.5912759,130.5527458
鹿児島市西郷南洲顕彰館,Not Found,Not Found
鹿児島市郡元2丁目,Not Found,Not Found
鹿児島市鹿児島女子短期大学,31.5826093,130.5513564994888
鹿児島市同好会（草牟田2丁目）,Not Found,Not Found
鹿児島市同好会（上之園町）,Not Found,Not Found
鹿児島市山田町2275,Not Found,Not Found
鹿児島市川上町,31.6585387,130.5608267
鹿児島市入佐町,31.5863224,130.412568
鹿児島市中山町,31.537532849999998,130.47943329790803
鹿児島市本城町,31.7158925,130.5517828
鹿児島市城山町,31.5973265,130.5527082
鹿児島市平之町,31.591252,130.5471566
鹿児島市上竜尾町2,Not Found,Not Found
鹿児島市城山町,31.5973265,130.5527082
鹿児島市川田町,31.6723345,130.5031422
鹿児島市喜入町,31.3701024,130.5418877
鹿児島市清水町外,Not Found,Not Found
鹿児島市鹿児島市,31.6021426,130.5640944
鹿児島市黒神町,31.5812311,130.7062834
鹿児島市西佐多町,31.738289,130.540461
鹿児島市鹿児島県立博物館,31.5941079,130.55276209201836
鹿児島市東桜島町,31.556073,130.638091
鹿児島市玉里町27番1号,Not Found,Not Found
鹿児島市城山2丁目,Not Found,Not Found
鹿児島市松原町,31.5872232,130.5590378
鹿児島市考古歴史館,Not Found,Not Found
鹿児島市伊敷7丁目5156,Not Found,Not Found
鹿児島市薬師2丁目西田小,Not Found,Not Found
鹿児島市武1丁目,Not Found,Not Found
鹿児島市宇宿町8丁目,Not Found,Not Found
鹿児島市五ヶ別府町476,Not Found,Not Found
鹿児島市星ヶ峯団地第3公園,Not Found,Not Found
鹿児島市山田町,31.5650826,130.4979627
鹿児島市東谷山7丁目　,Not Found,Not Found
鹿児島市谷山中央4丁目158,Not Found,Not Found
鹿児島市伊敷6丁目3,Not Found,Not Found
鹿児島市東佐多町,31.733092,130.572752
鹿児島市春山町,31.5783772,130.4569985
鹿児島市郡山町,31.6961814,130.4638318
鹿児島市宮之浦町,31.6773876,130.5708432
鹿児島市桜島横山町,31.5915552,130.6057403
鹿児島市桜島藤野町,31.616968,130.627643
鹿児島市喜入中名町,31.3926581,130.5298127
鹿児島市有屋田町,31.6649016,130.4457644
鹿児島市山田町,31.5650826,130.4979627
鹿児島市草牟田1丁目,Not Found,Not Found
鹿児島市下福元町,31.5024818,130.4836019
鹿児島市桜島小池町,31.596511,130.604296
鹿児島市西俣町,31.696291,130.4511288
鹿児島市東俣町,31.6879425,130.5013237
鹿児島市城山町,31.5973265,130.5527082
鹿児島市城山町,31.5973265,130.5527082
鹿児島市城山1丁目,Not Found,Not Found
鹿児島市清水町,31.6089757,130.5673748
鹿児島市小野3丁目,Not Found,Not Found
鹿児島市西佐多町295,Not Found,Not Found
鹿児島市桜島藤野町,31.616968,130.627643
鹿児島市桜島横山町沖小島2,Not Found,Not Found
鹿児島市桜島武町,31.612032,130.619473
鹿児島市入佐町,31.5863224,130.412568
鹿児島市上谷口町,31.5975634,130.4403103
鹿児島市石谷町,31.615139,130.4579954
鹿児島市喜入一倉町,31.3509678,130.51259
鹿児島市下福元町3816,Not Found,Not Found
鹿児島市喜入町,31.3701024,130.5418877
鹿児島市城山町,31.5973265,130.5527082
鹿児島市山下町,31.5959731,130.556694
鹿児島市草牟田2丁目,Not Found,Not Found
鹿児島市郡元1丁目21,Not Found,Not Found
鹿児島市上竜尾町,31.6104569,130.5555617
鹿児島市上之園町,31.5809892,130.5466716
鹿児島市加治屋町,31.5854359,130.5482833
鹿児島市春日町,31.6061193,130.5649877
